ID,Descripción,Fecha de verificación,Próxima Verificación,Calendario de Verificacion,Estado,Método de verificación,Error-,Error+,Resolución+,Resolución-,Patrón,ID patrón,Usuario,Linea del cliente,Formato,Status,,Fuera de Calibración,,Periodo
DUM-798,7121  Pieza OK componentes,26/05/2021,25/11/2021,15/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Ensamble,VAL-7121-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1170,7121-Capacitador da;ado,24/04/2021,24/10/2021,04/10/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-1171,7121-Capacitador da;ado,24/04/2021,24/10/2021,04/10/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-789,7121 Tab corto,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-780,7121- Sin Capacitor Murata,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-781,7121- Sin Capacitor Epcos,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-794,7121 Pieza OK,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-790,7121 Murata Fisurado ,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-792,7121 Golpe en HS,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-785,7121 CONTINUIDAD,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-025,7121 Baja capacitancia,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NO GO,NA,NA,NA,Hypot,LCR-397,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-026,7121 Baja capacitancia,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NO GO,NA,NA,NA,Hypot,LCR-396,Moldeo,VAL-7121-000,NA,Calibración Aceptada,,,,183.00
DUM-795,7121  Tab Invertido  en hipot,27/04/2021,27/10/2021,17/10/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-779,7121 - Sin Tab,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-791,7121  Raya en Heat Sink,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-793,7121  Golpe en HS,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-786,7121  Fuga Capacitor Epcos,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-797,7121  Exceso de rebaba ,27/04/2021,27/10/2021,17/10/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-784,7121  Corto Term.3,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-783,7121  Corto Term.2,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-782,7121  Corto Term.1,28/06/2021,28/12/2021,18/12/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-7121-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-510,6652 Sin Tap,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
