['DUM-005', '5061 CORTO ', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NO GO - NA', '6']
['DUM-091', '5060 Sin Triming', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NA', '6']
['DUM-109', '5060 SIN TRIMING', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-090', '5060 SIN CONT BLADE', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-092', '5060 SIN CONT BLADE', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-093', '5060 SIN CONT BLADE', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-094', '5060 SIN CONT BLADE', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-160', '5060 S/Planchar ', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NA', '6']
['DUM-161', '5060 S/Planchar ', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NA', '6']
['DUM-113', '5060 S/COMP DER', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-156', '5060 S/CB SUPERIOR', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-157', '5060 S/CB IZQUIERDO', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-159', '5060 S/CB INFERIOR', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
